|6.6.6
water_3.tab                                                                                         
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           3
T(K)           P(bar)         rho,kg/m3     
  923.150        10660.3        976.762     
  923.150        10670.3        976.998     
  923.150        10680.3        977.233     
  923.150        10690.3        977.468     
  923.150        10700.4        977.703     
  923.150        10710.4        977.938     
  923.150        10720.4        978.173     
  923.150        10730.4        978.407     
  923.150        10740.4        978.641     
  923.150        10750.4        978.875     
  923.150        10760.4        979.109     
  923.150        10770.4        979.342     
  923.150        10780.4        979.576     
  923.150        10790.4        979.809     
  923.150        10800.4        980.042     
  923.150        10810.4        980.274     
  923.150        10820.4        980.507     
  923.150        10830.4        980.739     
  923.150        10840.4        980.971     
  923.150        10850.4        981.203     
  923.150        10860.4        981.435     
  923.150        10870.4        981.666     
  923.150        10880.4        981.897     
  923.150        10890.4        982.129     
  923.150        10900.5        982.359     
  923.150        10910.5        982.590     
  923.150        10920.5        982.820     
  923.150        10930.5        983.051     
  923.150        10940.5        983.281     
  923.150        10950.5        983.511     
  923.150        10960.5        983.740     
  923.150        10970.5        983.970     
  923.150        10980.5        984.199     
  923.150        10990.5        984.428     
  923.150        11000.5        984.657     
  923.150        11010.5        984.885     
  923.150        11020.5        985.114     
  923.150        11030.5        985.342     
  923.150        11040.5        985.570     
  923.150        11050.5        985.798     
  923.150        11060.5        986.025     
  923.150        11070.5        986.253     
  923.150        11080.5        986.480     
  923.150        11090.5        986.707     
  923.150        11100.6        986.934     
  923.150        11110.6        987.160     
  923.150        11120.6        987.387     
  923.150        11130.6        987.613     
  923.150        11140.6        987.839     
  923.150        11150.6        988.065     
  923.150        11160.6        988.291     
  923.150        11170.6        988.516     
  923.150        11180.6        988.741     
  923.150        11190.6        988.966     
  923.150        11200.6        989.191     
  923.150        11210.6        989.416     
  923.150        11220.6        989.641     
  923.150        11230.6        989.865     
  923.150        11240.6        990.089     
  923.150        11250.6        990.313     
  923.150        11260.6        990.537     
  923.150        11270.6        990.760     
  923.150        11280.6        990.983     
  923.150        11290.6        991.207     
  923.150        11300.7        991.430     
  923.150        11310.7        991.652     
  923.150        11320.7        991.875     
  923.150        11330.7        992.097     
  923.150        11340.7        992.320     
  923.150        11350.7        992.542     
  923.150        11360.7        992.763     
  923.150        11370.7        992.985     
  923.150        11380.7        993.207     
  923.150        11390.7        993.428     
  923.150        11400.7        993.649     
  923.150        11410.7        993.870     
  923.150        11420.7        994.091     
  923.150        11430.7        994.311     
  923.150        11440.7        994.531     
  923.150        11450.7        994.752     
  923.150        11460.7        994.972     
  923.150        11470.7        995.191     
  923.150        11480.7        995.411     
  923.150        11490.7        995.630     
  923.150        11500.8        995.850     
  923.150        11510.8        996.069     
  923.150        11520.8        996.288     
  923.150        11530.8        996.506     
  923.150        11540.8        996.725     
  923.150        11550.8        996.943     
  923.150        11560.8        997.161     
  923.150        11570.8        997.379     
  923.150        11580.8        997.597     
  923.150        11590.8        997.815     
  923.150        11600.8        998.032     
  923.150        11610.8        998.249     
  923.150        11620.8        998.466     
  923.150        11630.8        998.683     
  923.150        11640.8        998.900     
  923.150        11650.8        999.117     
  923.150        11660.8        999.333     
  923.150        11670.8        999.549     
  923.150        11680.8        999.765     
  923.150        11690.8        999.981     
  923.150        11700.9        1000.20     
  923.150        11710.9        1000.41     
  923.150        11720.9        1000.63     
  923.150        11730.9        1000.84     
  923.150        11740.9        1001.06     
  923.150        11750.9        1001.27     
  923.150        11760.9        1001.49     
  923.150        11770.9        1001.70     
  923.150        11780.9        1001.92     
  923.150        11790.9        1002.13     
  923.150        11800.9        1002.34     
  923.150        11810.9        1002.56     
  923.150        11820.9        1002.77     
  923.150        11830.9        1002.98     
  923.150        11840.9        1003.20     
  923.150        11850.9        1003.41     
  923.150        11860.9        1003.62     
  923.150        11870.9        1003.84     
  923.150        11880.9        1004.05     
  923.150        11890.9        1004.26     
  923.150        11901.0        1004.47     
  923.150        11911.0        1004.69     
  923.150        11921.0        1004.90     
  923.150        11931.0        1005.11     
  923.150        11941.0        1005.32     
  923.150        11951.0        1005.53     
  923.150        11961.0        1005.74     
  923.150        11971.0        1005.95     
  923.150        11981.0        1006.16     
  923.150        11991.0        1006.38     
  923.150        12001.0        1006.59     
  923.150        12011.0        1006.80     
  923.150        12021.0        1007.01     
  923.150        12031.0        1007.22     
  923.150        12041.0        1007.43     
  923.150        12051.0        1007.64     
  923.150        12061.0        1007.85     
  923.150        12071.0        1008.05     
  923.150        12081.0        1008.26     
  923.150        12091.0        1008.47     
  923.150        12101.1        1008.68     
  923.150        12111.1        1008.89     
  923.150        12121.1        1009.10     
  923.150        12131.1        1009.31     
  923.150        12141.1        1009.52     
  923.150        12151.1        1009.72     
  923.150        12161.1        1009.93     
  923.150        12171.1        1010.14     
  923.150        12181.1        1010.35     
  923.150        12191.1        1010.55     
  923.150        12201.1        1010.76     
  923.150        12211.1        1010.97     
  923.150        12221.1        1011.18     
  923.150        12231.1        1011.38     
  923.150        12241.1        1011.59     
  923.150        12251.1        1011.79     
  923.150        12261.1        1012.00     
  923.150        12271.1        1012.21     
  923.150        12281.1        1012.41     
  923.150        12291.1        1012.62     
  923.150        12301.2        1012.82     
  923.150        12311.2        1013.03     
  923.150        12321.2        1013.24     
  923.150        12331.2        1013.44     
  923.150        12341.2        1013.65     
  923.150        12351.2        1013.85     
  923.150        12361.2        1014.05     
  923.150        12371.2        1014.26     
  923.150        12381.2        1014.46     
  923.150        12391.2        1014.67     
  923.150        12401.2        1014.87     
  923.150        12411.2        1015.08     
  923.150        12421.2        1015.28     
  923.150        12431.2        1015.48     
  923.150        12441.2        1015.69     
  923.150        12451.2        1015.89     
  923.150        12461.2        1016.09     
  923.150        12471.2        1016.30     
  923.150        12481.2        1016.50     
  923.150        12491.2        1016.70     
  923.150        12501.3        1016.90     
  923.150        12511.3        1017.11     
  923.150        12521.3        1017.31     
  923.150        12531.3        1017.51     
  923.150        12541.3        1017.71     
  923.150        12551.3        1017.91     
  923.150        12561.3        1018.12     
  923.150        12571.3        1018.32     
  923.150        12581.3        1018.52     
  923.150        12591.3        1018.72     
  923.150        12601.3        1018.92     
  923.150        12611.3        1019.12     
  923.150        12621.3        1019.32     
  923.150        12631.3        1019.52     
  923.150        12641.3        1019.72     
  923.150        12651.3        1019.92     
  923.150        12661.3        1020.12     
  923.150        12671.3        1020.32     
  923.150        12681.3        1020.52     
  923.150        12691.3        1020.72     
  923.150        12701.4        1020.92     
  923.150        12711.4        1021.12     
  923.150        12721.4        1021.32     
  923.150        12731.4        1021.52     
  923.150        12741.4        1021.72     
  923.150        12751.4        1021.92     
  923.150        12761.4        1022.12     
  923.150        12771.4        1022.31     
  923.150        12781.4        1022.51     
  923.150        12791.4        1022.71     
  923.150        12801.4        1022.91     
  923.150        12811.4        1023.11     
  923.150        12821.4        1023.30     
  923.150        12831.4        1023.50     
  923.150        12841.4        1023.70     
  923.150        12851.4        1023.90     
  923.150        12861.4        1024.09     
  923.150        12871.4        1024.29     
  923.150        12881.4        1024.49     
  923.150        12891.4        1024.68     
  923.150        12901.5        1024.88     
  923.150        12911.5        1025.08     
  923.150        12921.5        1025.27     
  923.150        12931.5        1025.47     
  923.150        12941.5        1025.66     
  923.150        12951.5        1025.86     
  923.150        12961.5        1026.06     
  923.150        12971.5        1026.25     
  923.150        12981.5        1026.45     
  923.150        12991.5        1026.64     
  923.150        13001.5        1026.84     
  923.150        13011.5        1027.03     
  923.150        13021.5        1027.23     
  923.150        13031.5        1027.42     
  923.150        13041.5        1027.62     
  923.150        13051.5        1027.81     
  923.150        13061.5        1028.01     
  923.150        13071.5        1028.20     
  923.150        13081.5        1028.39     
  923.150        13091.5        1028.59     
  923.150        13101.6        1028.78     
  923.150        13111.6        1028.97     
  923.150        13121.6        1029.17     
  923.150        13131.6        1029.36     
  923.150        13141.6        1029.55     
  923.150        13151.6        1029.75     
  923.150        13161.6        1029.94     
  923.150        13171.6        1030.13     
  923.150        13181.6        1030.33     
  923.150        13191.6        1030.52     
  923.150        13201.6        1030.71     
  923.150        13211.6        1030.90     
  923.150        13221.6        1031.09     
  923.150        13231.6        1031.29     
  923.150        13241.6        1031.48     
  923.150        13251.6        1031.67     
  923.150        13261.6        1031.86     
  923.150        13271.6        1032.05     
  923.150        13281.6        1032.24     
  923.150        13291.6        1032.43     
  923.150        13301.7        1032.63     
  923.150        13311.7        1032.82     
  923.150        13321.7        1033.01     
  923.150        13331.7        1033.20     
  923.150        13341.7        1033.39     
  923.150        13351.7        1033.58     
  923.150        13361.7        1033.77     
  923.150        13371.7        1033.96     
  923.150        13381.7        1034.15     
  923.150        13391.7        1034.34     
  923.150        13401.7        1034.53     
  923.150        13411.7        1034.72     
  923.150        13421.7        1034.91     
  923.150        13431.7        1035.10     
  923.150        13441.7        1035.29     
  923.150        13451.7        1035.47     
  923.150        13461.7        1035.66     
  923.150        13471.7        1035.85     
  923.150        13481.7        1036.04     
  923.150        13491.7        1036.23     
  923.150        13501.8        1036.42     
  923.150        13511.8        1036.61     
  923.150        13521.8        1036.79     
  923.150        13531.8        1036.98     
  923.150        13541.8        1037.17     
  923.150        13551.8        1037.36     
  923.150        13561.8        1037.54     
  923.150        13571.8        1037.73     
  923.150        13581.8        1037.92     
  923.150        13591.8        1038.11     
  923.150        13601.8        1038.29     
  923.150        13611.8        1038.48     
  923.150        13621.8        1038.67     
  923.150        13631.8        1038.85     
  923.150        13641.8        1039.04     
  923.150        13651.8        1039.23     
  923.150        13661.8        1039.41     
  923.150        13671.8        1039.60     
  923.150        13681.8        1039.78     
  923.150        13691.8        1039.97     
  923.150        13701.9        1040.16     
  923.150        13711.9        1040.34     
  923.150        13721.9        1040.53     
  923.150        13731.9        1040.71     
  923.150        13741.9        1040.90     
  923.150        13751.9        1041.08     
  923.150        13761.9        1041.27     
  923.150        13771.9        1041.45     
  923.150        13781.9        1041.64     
  923.150        13791.9        1041.82     
  923.150        13801.9        1042.01     
  923.150        13811.9        1042.19     
  923.150        13821.9        1042.37     
  923.150        13831.9        1042.56     
  923.150        13841.9        1042.74     
  923.150        13851.9        1042.93     
  923.150        13861.9        1043.11     
  923.150        13871.9        1043.29     
  923.150        13881.9        1043.48     
  923.150        13891.9        1043.66     
  923.150        13902.0        1043.84     
  923.150        13912.0        1044.03     
  923.150        13922.0        1044.21     
  923.150        13932.0        1044.39     
  923.150        13942.0        1044.57     
  923.150        13952.0        1044.76     
  923.150        13962.0        1044.94     
  923.150        13972.0        1045.12     
  923.150        13982.0        1045.30     
  923.150        13992.0        1045.49     
  923.150        14002.0        1045.67     
  923.150        14012.0        1045.85     
  923.150        14022.0        1046.03     
  923.150        14032.0        1046.21     
  923.150        14042.0        1046.40     
  923.150        14052.0        1046.58     
  923.150        14062.0        1046.76     
  923.150        14072.0        1046.94     
  923.150        14082.0        1047.12     
  923.150        14092.0        1047.30     
  923.150        14102.1        1047.48     
  923.150        14112.1        1047.66     
  923.150        14122.1        1047.84     
  923.150        14132.1        1048.02     
  923.150        14142.1        1048.20     
  923.150        14152.1        1048.38     
  923.150        14162.1        1048.56     
  923.150        14172.1        1048.74     
  923.150        14182.1        1048.92     
  923.150        14192.1        1049.10     
  923.150        14202.1        1049.28     
  923.150        14212.1        1049.46     
  923.150        14222.1        1049.64     
  923.150        14232.1        1049.82     
  923.150        14242.1        1050.00     
  923.150        14252.1        1050.18     
  923.150        14262.1        1050.36     
  923.150        14272.1        1050.54     
  923.150        14282.1        1050.72     
  923.150        14292.1        1050.89     
  923.150        14302.2        1051.07     
  923.150        14312.2        1051.25     
  923.150        14322.2        1051.43     
  923.150        14332.2        1051.61     
  923.150        14342.2        1051.78     
  923.150        14352.2        1051.96     
  923.150        14362.2        1052.14     
  923.150        14372.2        1052.32     
  923.150        14382.2        1052.50     
  923.150        14392.2        1052.67     
  923.150        14402.2        1052.85     
  923.150        14412.2        1053.03     
  923.150        14422.2        1053.20     
  923.150        14432.2        1053.38     
  923.150        14442.2        1053.56     
  923.150        14452.2        1053.73     
  923.150        14462.2        1053.91     
  923.150        14472.2        1054.09     
  923.150        14482.2        1054.26     
  923.150        14492.2        1054.44     
  923.150        14502.3        1054.62     
  923.150        14512.3        1054.79     
  923.150        14522.3        1054.97     
  923.150        14532.3        1055.14     
  923.150        14542.3        1055.32     
  923.150        14552.3        1055.50     
  923.150        14562.3        1055.67     
  923.150        14572.3        1055.85     
  923.150        14582.3        1056.02     
  923.150        14592.3        1056.20     
  923.150        14602.3        1056.37     
  923.150        14612.3        1056.55     
  923.150        14622.3        1056.72     
  923.150        14632.3        1056.90     
  923.150        14642.3        1057.07     
  923.150        14652.3        1057.24     
  923.150        14662.3        1057.42     
  923.150        14672.3        1057.59     
  923.150        14682.3        1057.77     
  923.150        14692.3        1057.94     
  923.150        14702.4        1058.12     
  923.150        14712.4        1058.29     
  923.150        14722.4        1058.46     
  923.150        14732.4        1058.64     
  923.150        14742.4        1058.81     
  923.150        14752.4        1058.98     
  923.150        14762.4        1059.16     
  923.150        14772.4        1059.33     
  923.150        14782.4        1059.50     
  923.150        14792.4        1059.68     
  923.150        14802.4        1059.85     
  923.150        14812.4        1060.02     
  923.150        14822.4        1060.19     
  923.150        14832.4        1060.37     
  923.150        14842.4        1060.54     
  923.150        14852.4        1060.71     
  923.150        14862.4        1060.88     
  923.150        14872.4        1061.05     
  923.150        14882.4        1061.23     
  923.150        14892.4        1061.40     
  923.150        14902.5        1061.57     
  923.150        14912.5        1061.74     
  923.150        14922.5        1061.91     
  923.150        14932.5        1062.08     
  923.150        14942.5        1062.26     
  923.150        14952.5        1062.43     
  923.150        14962.5        1062.60     
  923.150        14972.5        1062.77     
  923.150        14982.5        1062.94     
  923.150        14992.5        1063.11     
  923.150        15002.5        1063.28     
  923.150        15012.5        1063.45     
  923.150        15022.5        1063.62     
  923.150        15032.5        1063.79     
  923.150        15042.5        1063.96     
  923.150        15052.5        1064.13     
  923.150        15062.5        1064.30     
  923.150        15072.5        1064.47     
  923.150        15082.5        1064.64     
  923.150        15092.5        1064.81     
  923.150        15102.6        1064.98     
  923.150        15112.6        1065.15     
  923.150        15122.6        1065.32     
  923.150        15132.6        1065.49     
  923.150        15142.6        1065.66     
  923.150        15152.6        1065.83     
  923.150        15162.6        1066.00     
  923.150        15172.6        1066.17     
  923.150        15182.6        1066.34     
  923.150        15192.6        1066.50     
  923.150        15202.6        1066.67     
  923.150        15212.6        1066.84     
  923.150        15222.6        1067.01     
  923.150        15232.6        1067.18     
  923.150        15242.6        1067.35     
  923.150        15252.6        1067.51     
  923.150        15262.6        1067.68     
  923.150        15272.6        1067.85     
  923.150        15282.6        1068.02     
  923.150        15292.6        1068.19     
  923.150        15302.7        1068.35     
  923.150        15312.7        1068.52     
  923.150        15322.7        1068.69     
  923.150        15332.7        1068.86     
  923.150        15342.7        1069.02     
  923.150        15352.7        1069.19     
  923.150        15362.7        1069.36     
  923.150        15372.7        1069.52     
  923.150        15382.7        1069.69     
  923.150        15392.7        1069.86     
  923.150        15402.7        1070.02     
  923.150        15412.7        1070.19     
  923.150        15422.7        1070.36     
  923.150        15432.7        1070.52     
  923.150        15442.7        1070.69     
  923.150        15452.7        1070.85     
  923.150        15462.7        1071.02     
  923.150        15472.7        1071.19     
  923.150        15482.7        1071.35     
  923.150        15492.7        1071.52     
  923.150        15502.8        1071.68     
  923.150        15512.8        1071.85     
  923.150        15522.8        1072.01     
  923.150        15532.8        1072.18     
  923.150        15542.8        1072.34     
  923.150        15552.8        1072.51     
  923.150        15562.8        1072.67     
  923.150        15572.8        1072.84     
  923.150        15582.8        1073.00     
  923.150        15592.8        1073.17     
  923.150        15602.8        1073.33     
  923.150        15612.8        1073.50     
  923.150        15622.8        1073.66     
  923.150        15632.8        1073.83     
  923.150        15642.8        1073.99     
  923.150        15652.8        1074.16     
  923.150        15662.8        1074.32     
  923.150        15672.8        1074.48     
  923.150        15682.8        1074.65     
  923.150        15692.8        1074.81     
  923.150        15702.9        1074.97     
  923.150        15712.9        1075.14     
  923.150        15722.9        1075.30     
  923.150        15732.9        1075.46     
  923.150        15742.9        1075.63     
  923.150        15752.9        1075.79     
  923.150        15762.9        1075.95     
  923.150        15772.9        1076.12     
  923.150        15782.9        1076.28     
  923.150        15792.9        1076.44     
  923.150        15802.9        1076.61     
  923.150        15812.9        1076.77     
  923.150        15822.9        1076.93     
  923.150        15832.9        1077.09     
  923.150        15842.9        1077.25     
  923.150        15852.9        1077.42     
  923.150        15862.9        1077.58     
  923.150        15872.9        1077.74     
  923.150        15882.9        1077.90     
  923.150        15892.9        1078.07     
  923.150        15903.0        1078.23     
  923.150        15913.0        1078.39     
  923.150        15923.0        1078.55     
  923.150        15933.0        1078.71     
  923.150        15943.0        1078.87     
  923.150        15953.0        1079.03     
  923.150        15963.0        1079.20     
  923.150        15973.0        1079.36     
  923.150        15983.0        1079.52     
  923.150        15993.0        1079.68     
  923.150        16003.0        1079.84     
  923.150        16013.0        1080.00     
  923.150        16023.0        1080.16     
  923.150        16033.0        1080.32     
  923.150        16043.0        1080.48     
  923.150        16053.0        1080.64     
  923.150        16063.0        1080.80     
  923.150        16073.0        1080.96     
  923.150        16083.0        1081.12     
  923.150        16093.0        1081.28     
  923.150        16103.1        1081.44     
  923.150        16113.1        1081.60     
  923.150        16123.1        1081.76     
  923.150        16133.1        1081.92     
  923.150        16143.1        1082.08     
  923.150        16153.1        1082.24     
  923.150        16163.1        1082.40     
  923.150        16173.1        1082.56     
  923.150        16183.1        1082.72     
  923.150        16193.1        1082.88     
  923.150        16203.1        1083.04     
  923.150        16213.1        1083.19     
  923.150        16223.1        1083.35     
  923.150        16233.1        1083.51     
  923.150        16243.1        1083.67     
  923.150        16253.1        1083.83     
  923.150        16263.1        1083.99     
  923.150        16273.1        1084.15     
  923.150        16283.1        1084.30     
  923.150        16293.1        1084.46     
  923.150        16303.2        1084.62     
  923.150        16313.2        1084.78     
  923.150        16323.2        1084.94     
  923.150        16333.2        1085.09     
  923.150        16343.2        1085.25     
  923.150        16353.2        1085.41     
  923.150        16363.2        1085.57     
  923.150        16373.2        1085.72     
  923.150        16383.2        1085.88     
  923.150        16393.2        1086.04     
  923.150        16403.2        1086.20     
  923.150        16413.2        1086.35     
  923.150        16423.2        1086.51     
  923.150        16433.2        1086.67     
  923.150        16443.2        1086.82     
  923.150        16453.2        1086.98     
  923.150        16463.2        1087.14     
  923.150        16473.2        1087.29     
  923.150        16483.2        1087.45     
  923.150        16493.2        1087.61     
  923.150        16503.3        1087.76     
  923.150        16513.3        1087.92     
  923.150        16523.3        1088.08     
  923.150        16533.3        1088.23     
  923.150        16543.3        1088.39     
  923.150        16553.3        1088.54     
  923.150        16563.3        1088.70     
  923.150        16573.3        1088.86     
  923.150        16583.3        1089.01     
  923.150        16593.3        1089.17     
  923.150        16603.3        1089.32     
  923.150        16613.3        1089.48     
  923.150        16623.3        1089.63     
  923.150        16633.3        1089.79     
  923.150        16643.3        1089.94     
  923.150        16653.3        1090.10     
  923.150        16663.3        1090.25     
  923.150        16673.3        1090.41     
  923.150        16683.3        1090.56     
  923.150        16693.3        1090.72     
  923.150        16703.4        1090.87     
  923.150        16713.4        1091.03     
  923.150        16723.4        1091.18     
  923.150        16733.4        1091.34     
  923.150        16743.4        1091.49     
  923.150        16753.4        1091.64     
  923.150        16763.4        1091.80     
  923.150        16773.4        1091.95     
  923.150        16783.4        1092.11     
  923.150        16793.4        1092.26     
  923.150        16803.4        1092.41     
  923.150        16813.4        1092.57     
  923.150        16823.4        1092.72     
  923.150        16833.4        1092.87     
  923.150        16843.4        1093.03     
  923.150        16853.4        1093.18     
  923.150        16863.4        1093.33     
  923.150        16873.4        1093.49     
  923.150        16883.4        1093.64     
  923.150        16893.4        1093.79     
  923.150        16903.5        1093.95     
  923.150        16913.5        1094.10     
  923.150        16923.5        1094.25     
  923.150        16933.5        1094.41     
  923.150        16943.5        1094.56     
  923.150        16953.5        1094.71     
  923.150        16963.5        1094.86     
  923.150        16973.5        1095.02     
  923.150        16983.5        1095.17     
  923.150        16993.5        1095.32     
  923.150        17003.5        1095.47     
  923.150        17013.5        1095.62     
  923.150        17023.5        1095.78     
  923.150        17033.5        1095.93     
  923.150        17043.5        1096.08     
  923.150        17053.5        1096.23     
  923.150        17063.5        1096.38     
  923.150        17073.5        1096.53     
  923.150        17083.5        1096.69     
  923.150        17093.5        1096.84     
  923.150        17103.6        1096.99     
  923.150        17113.6        1097.14     
  923.150        17123.6        1097.29     
  923.150        17133.6        1097.44     
  923.150        17143.6        1097.59     
  923.150        17153.6        1097.74     
  923.150        17163.6        1097.89     
  923.150        17173.6        1098.05     
  923.150        17183.6        1098.20     
  923.150        17193.6        1098.35     
  923.150        17203.6        1098.50     
  923.150        17213.6        1098.65     
  923.150        17223.6        1098.80     
  923.150        17233.6        1098.95     
  923.150        17243.6        1099.10     
  923.150        17253.6        1099.25     
  923.150        17263.6        1099.40     
  923.150        17273.6        1099.55     
  923.150        17283.6        1099.70     
  923.150        17293.6        1099.85     
  923.150        17303.7        1100.00     
  923.150        17313.7        1100.15     
  923.150        17323.7        1100.30     
  923.150        17333.7        1100.45     
  923.150        17343.7        1100.60     
  923.150        17353.7        1100.75     
  923.150        17363.7        1100.89     
  923.150        17373.7        1101.04     
  923.150        17383.7        1101.19     
  923.150        17393.7        1101.34     
  923.150        17403.7        1101.49     
  923.150        17413.7        1101.64     
  923.150        17423.7        1101.79     
  923.150        17433.7        1101.94     
  923.150        17443.7        1102.09     
  923.150        17453.7        1102.23     
  923.150        17463.7        1102.38     
  923.150        17473.7        1102.53     
  923.150        17483.7        1102.68     
  923.150        17493.7        1102.83     
  923.150        17503.8        1102.98     
  923.150        17513.8        1103.12     
  923.150        17523.8        1103.27     
  923.150        17533.8        1103.42     
  923.150        17543.8        1103.57     
  923.150        17553.8        1103.72     
  923.150        17563.8        1103.86     
  923.150        17573.8        1104.01     
  923.150        17583.8        1104.16     
  923.150        17593.8        1104.31     
  923.150        17603.8        1104.45     
  923.150        17613.8        1104.60     
  923.150        17623.8        1104.75     
  923.150        17633.8        1104.90     
  923.150        17643.8        1105.04     
  923.150        17653.8        1105.19     
  923.150        17663.8        1105.34     
  923.150        17673.8        1105.48     
  923.150        17683.8        1105.63     
  923.150        17693.8        1105.78     
  923.150        17703.9        1105.92     
  923.150        17713.9        1106.07     
  923.150        17723.9        1106.22     
  923.150        17733.9        1106.36     
  923.150        17743.9        1106.51     
  923.150        17753.9        1106.66     
  923.150        17763.9        1106.80     
  923.150        17773.9        1106.95     
  923.150        17783.9        1107.09     
  923.150        17793.9        1107.24     
  923.150        17803.9        1107.39     
  923.150        17813.9        1107.53     
  923.150        17823.9        1107.68     
  923.150        17833.9        1107.82     
  923.150        17843.9        1107.97     
  923.150        17853.9        1108.11     
  923.150        17863.9        1108.26     
  923.150        17873.9        1108.41     
  923.150        17883.9        1108.55     
  923.150        17893.9        1108.70     
  923.150        17904.0        1108.84     
  923.150        17914.0        1108.99     
  923.150        17924.0        1109.13     
  923.150        17934.0        1109.28     
  923.150        17944.0        1109.42     
  923.150        17954.0        1109.57     
  923.150        17964.0        1109.71     
  923.150        17974.0        1109.86     
  923.150        17984.0        1110.00     
  923.150        17994.0        1110.14     
  923.150        18004.0        1110.29     
  923.150        18014.0        1110.43     
  923.150        18024.0        1110.58     
  923.150        18034.0        1110.72     
  923.150        18044.0        1110.87     
  923.150        18054.0        1111.01     
  923.150        18064.0        1111.15     
  923.150        18074.0        1111.30     
  923.150        18084.0        1111.44     
  923.150        18094.0        1111.59     
  923.150        18104.1        1111.73     
  923.150        18114.1        1111.87     
  923.150        18124.1        1112.02     
  923.150        18134.1        1112.16     
  923.150        18144.1        1112.30     
  923.150        18154.1        1112.45     
  923.150        18164.1        1112.59     
  923.150        18174.1        1112.73     
  923.150        18184.1        1112.88     
  923.150        18194.1        1113.02     
  923.150        18204.1        1113.16     
  923.150        18214.1        1113.31     
  923.150        18224.1        1113.45     
  923.150        18234.1        1113.59     
  923.150        18244.1        1113.73     
  923.150        18254.1        1113.88     
  923.150        18264.1        1114.02     
  923.150        18274.1        1114.16     
  923.150        18284.1        1114.30     
  923.150        18294.1        1114.45     
  923.150        18304.2        1114.59     
  923.150        18314.2        1114.73     
  923.150        18324.2        1114.87     
  923.150        18334.2        1115.02     
  923.150        18344.2        1115.16     
  923.150        18354.2        1115.30     
  923.150        18364.2        1115.44     
  923.150        18374.2        1115.58     
  923.150        18384.2        1115.73     
  923.150        18394.2        1115.87     
  923.150        18404.2        1116.01     
  923.150        18414.2        1116.15     
  923.150        18424.2        1116.29     
  923.150        18434.2        1116.43     
  923.150        18444.2        1116.57     
  923.150        18454.2        1116.72     
  923.150        18464.2        1116.86     
  923.150        18474.2        1117.00     
  923.150        18484.2        1117.14     
  923.150        18494.2        1117.28     
  923.150        18504.3        1117.42     
  923.150        18514.3        1117.56     
  923.150        18524.3        1117.70     
  923.150        18534.3        1117.84     
  923.150        18544.3        1117.98     
  923.150        18554.3        1118.12     
  923.150        18564.3        1118.27     
  923.150        18574.3        1118.41     
  923.150        18584.3        1118.55     
  923.150        18594.3        1118.69     
  923.150        18604.3        1118.83     
  923.150        18614.3        1118.97     
  923.150        18624.3        1119.11     
  923.150        18634.3        1119.25     
  923.150        18644.3        1119.39     
  923.150        18654.3        1119.53     
  923.150        18664.3        1119.67     
  923.150        18674.3        1119.81     
  923.150        18684.3        1119.95     
  923.150        18694.3        1120.09     
  923.150        18704.4        1120.23     
  923.150        18714.4        1120.36     
  923.150        18724.4        1120.50     
  923.150        18734.4        1120.64     
  923.150        18744.4        1120.78     
